Acamprosato;ACAMPROSATO 333MG 84 UNITA' USO ORALE;CAMPRAL*84 cpr riv gastrores 333 mg;33,77;BRUNO FARMACEUTICI SpA;034208013;H0A;;;
Acido clodronico;ACIDO CLODRONICO 400MG 10 UNITA' USO ORALE;CLASTEON*10 cps 400 mg;26,17;ABIOGEN PHARMA SpA;026372058;38B;X;;
Acido clodronico;ACIDO CLODRONICO 400MG 10 UNITA' USO ORALE;CLODRON*10 cps 400 mg;26,17;FIDIA FARMACEUTICI SpA;034721050;38B;X;;
Acido clodronico;ACIDO CLODRONICO 400MG 10 UNITA' USO ORALE;DIFOSFONAL*10 cps 400 mg;26,17;SPA (SOC.PRO.ANTIBIOTICI) SpA;026510053;38B;X;;
Acido etidronico;ACIDO ETIDRONICO 30 UNITA' 30MG USO ORALE;ETIDRON*30 cps 300 mg;26,83;ABIOGEN PHARMA SpA;023389012;CLR;;;
Acido folico;ACIDO FOLICO 400MCG 28 UNITA' USO ORALE;FERTIFOL*28 cpr 400 mcg;4,62;EFFIK ITALIA SpA;036346017;H7A;;;
Acido folico;ACIDO FOLICO 400MCG 28 UNITA' USO ORALE;FOLIDEX*28 cpr 400 mcg;4,62;ITALFARMACO SpA;036345015;H7A;;;
Acido folico;ACIDO FOLICO 5MG 20 UNITA' USO ORALE;FOLINA*20 cps 5 mg;3,60;TEOFARMA Srl;002309045;H7B;;;
Acido folico;ACIDO FOLICO 5MG 28 UNITA' USO ORALE;FOLIFILL*28 cpr 5 mg;4,98;ITALFARMACO SpA;040627010;H7C;;;
Acido folico;ACIDO FOLICO 15MG 5 UNITA' USO PARENTERALE;FOLINA*5 fiale IM 15 mg 2 ml;7,74;TEOFARMA Srl;002309033;H7D;;;
Acido pipemidico;ACIDO PIPEMIDICO 200MG 20 UNITA' USO ORALE;UROTRACTIN*20 cps 200 mg;4,01;TEOFARMA Srl;023869011;B1A;X;;
Acido pipemidico;ACIDO PIPEMIDICO 400MG 20 UNITA' USO ORALE;UROPIMID*20 cps 400 mg;4,59;C.T. LAB.FARMACEUTICO Srl;024482022;B1B;X;;
Acido pipemidico;ACIDO PIPEMIDICO 400MG 20 UNITA' USO ORALE;ACIDO PIPEMIDICO*20 cps 400 mg;5,05;EG SpA;024497024;B1B;X;;
Acido pipemidico;ACIDO PIPEMIDICO 400MG 20 UNITA' USO ORALE;ACIDO PIPEMIDICO*20 cps 400 mg;5,05;DR.REDDY'S Srl;025032018;B1B;X;;
Acido pipemidico;ACIDO PIPEMIDICO 400MG 20 UNITA' USO ORALE;DIPERPEN*20 cps 400 mg;6,23;FRANCIA FARMAC.IND.FAR.BIO.Srl;025060029;B1B;X;;
Acido pipemidico;ACIDO PIPEMIDICO 400MG 20 UNITA' USO ORALE;PIPEMID 400*20 cps 400 mg;7,63;VISUFARMA SpA;023921048;B1B;X;;
Acido pipemidico;ACIDO PIPEMIDICO 400MG 20 UNITA' USO ORALE;PIPRAM*20 cps 400 mg;7,63;TEOFARMA Srl;023609023;B1B;X;;
Acido pipemidico;ACIDO PIPEMIDICO 400MG 20 UNITA' USO ORALE;UROTRACTIN*20 cps 400 mg;7,63;TEOFARMA Srl;023869023;B1B;X;;
Acido pipemidico;ACIDO PIPEMIDICO 400MG 20 UNITA' USO ORALE;PIPURIN*20 cps 400 mg;9,53;NCSN FARMACEUTICI Srl;024590022;B1B;X;;
Acido tauroursodesossicolico;ACIDO TAUROURSODESOSSICOLICO 150MG 20 UNITA' USO ORALE;TAURO*20 cps 150 mg;6,03;TEOFARMA Srl;026772020;H8A;;;
Acido tauroursodesossicolico;ACIDO TAUROURSODESOSSICOLICO 250MG 20 UNITA' USO ORALE;TAURO*20 cps 250 mg;10,16;TEOFARMA Srl;026772032;H8B;;;
Acido tauroursodesossicolico;ACIDO TAUROURSODESOSSICOLICO 250MG 20 UNITA' USO ORALE;TUDCABIL*20 cps 250 mg;10,16;BRUSCHETTINI Srl;026707036;H8B;;;
Acido tiaprofenico;ACIDO TIAPROFENICO 300MG 30 UNITA' USO ORALE;SURGAMYL*30 cpr 300 mg;8,07;SCHARPER SpA;025195025;H9A;;;
Acido tiaprofenico;ACIDO TIAPROFENICO 300MG 30 UNITA' USO ORALE;SURGAMYL*os grat 30 bust 300 mg;8,07;SCHARPER SpA;025195052;H9A;;;
Acido tranexamico;ACIDO TRANEXAMICO 500MG 5 UNITA' USO PARENTERALE E ORALE;ACIDO TRANEXAMICO*5 fiale EV OS 500 mg 5 ml;3,96;BIOINDUSTRIA L.I.M. SpA;035748019;CAA;X;;
Acido tranexamico;ACIDO TRANEXAMICO 500MG 5 UNITA' USO PARENTERALE E ORALE;UGUROL*5 fiale EV OS 500 mg 5 ml;3,96;ROTTAPHARM SpA;021458029;CAA;X;;
Acido tranexamico;ACIDO TRANEXAMICO 250MG 20 UNITA' USO ORALE;UGUROL*20 cpr 250 mg;3,72;ROTTAPHARM SpA;021458017;CAB;;;
Acido tranexamico;ACIDO TRANEXAMICO 250MG 30 UNITA' USO ORALE;TRANEX*30 cps 250 mg;4,93;MALESCI SpA IST.FARMACOBIOL.;022019018;CAC;;;
Acido tranexamico;ACIDO TRANEXAMICO 500MG 30 UNITA' USO ORALE;TRANEX*30 cps 500 mg;8,84;MALESCI SpA IST.FARMACOBIOL.;022019020;CAD;;;
Acido tranexamico;ACIDO TRANEXAMICO 500MG 6 UNITA' USO PARENTERALE;TRANEX*6 fiale EV OS 500 mg 5 ml;6,59;MALESCI SpA IST.FARMACOBIOL.;022019032;CAE;;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;ACIDO URSODESOSSICOLICO*20 cpr 300 mg;5,24;RATIOPHARM ITALIA Srl;033090010;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;ACIDO URSODESOSSICOLICO*20 cpr 300 mg;5,24;MYLAN SpA;033094020;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;ACIDO URSODESOSSICOLICO*20 cps 300 mg;5,24;ACTAVIS ITALY SpA;028366019;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;ACIDO URSODESOSSICOLICO*20 cps 300 mg;5,24;ANGENERICO SpA;028746016;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;ACIDO URSODESOSSICOLICO*20 cps 300 mg;5,24;EG SpA;033512031;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;ACIDO URSODESOSSICOLICO*20 cps 300 mg;5,24;ZENTIVA ITALIA Srl;033564030;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;LITOFF*20 cpr 300 mg;5,24;FARMAC.CABER SpA;028404010;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;URSOFLOR*20 cps 300 mg;5,24;SO.SE.PHARM Srl;026073027;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;ACIDO URSODESOSSICOLICO*20 cps 300 mg;5,77;DOC GENERICI Srl;028931018;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;DESOXIL*20 cpr 300 mg;5,77;S.F.GROUP Srl;028336028;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;LITURSOL*20 cpr 300 mg;5,77;CRINOS SpA;024615080;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;URDES*20 cpr 300 mg;5,77;ERREKAPPA EUROTERAPICI SpA;026893040;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;URSOLISIN*20 cps 300 mg;5,77;MAGIS FARMACEUTICI SpA;025430101;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;URSOBIL*20 cpr 300 mg;5,80;ABC FARMACEUTICI SpA;024444123;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;DEURSIL*20 cps 300 mg;6,59;SANOFI-AVENTIS SpA;023605114;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;FRAURS*20 cps 300 mg;6,59;FRANCIA FARMAC.IND.FAR.BIO.Srl;027567039;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;URSACOL*20 cpr 300 mg;6,59;ZAMBON ITALIA Srl;023630066;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE;URSILON*20 cps 300 mg;6,59;I.B.I.GIOVANNI LORENZINI SpA;024173080;01A;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE;ACIDO URSODESOSSICOLICO*20 cpr 450 mg rilascio prolungato;8,16;RATIOPHARM ITALIA Srl;033090034;01B;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE;ACIDO URSODESOSSICOLICO*20 cpr 450 mg rilascio prolungato;8,16;EG SpA;033512017;01B;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE;ACIDO URSODESOSSICOLICO*20 cpr 450 mg rilascio prolungato;8,16;ZENTIVA ITALIA Srl;033564055;01B;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE;ACIDO URSODESOSSICOLICO*20 cps 450 mg rilascio modificato;8,16;DOC GENERICI Srl;028931032;01B;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE;LITOFF*20 cpr 450 mg rilascio prolungato;8,16;FARMAC.CABER SpA;028404022;01B;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE;URSOFLOR R*20 cpr 450 mg cessione ritardata;8,16;SO.SE.PHARM Srl;026073039;01B;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE;DESOXIL RC*20 cpr 450 mg cessione ritardata;9,85;S.F.GROUP Srl;028336042;01B;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE;LITURSOL*20 cps 450 mg rilascio prolungato;9,85;CRINOS SpA;024615092;01B;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE;URDES*20 cpr gastrores 450 mg;9,85;ERREKAPPA EUROTERAPICI SpA;026893053;01B;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE;URSOBIL HT*20 cps 450 mg rilascio controllato;9,85;ABC FARMACEUTICI SpA;029038027;01B;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE;DEURSIL*20 cps 450 mg rilascio prolungato;11,19;SANOFI-AVENTIS SpA;023605138;01B;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE;URSILON*20 cps 450 mg rilascio prolungato;11,19;I.B.I.GIOVANNI LORENZINI SpA;024173054;01B;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 150MG 20 UNITA' USO ORALE;ACIDO URSODESOSSICOLICO*20 cpr 150 mg;4,43;MYLAN SpA;033094018;01C;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 150MG 20 UNITA' USO ORALE;DESOXIL*20 cpr 150 mg;4,43;S.F.GROUP Srl;028336016;01C;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 150MG 20 UNITA' USO ORALE;DEURSIL*20 cps 150 mg;4,43;SANOFI-AVENTIS SpA;023605076;01C;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 150MG 20 UNITA' USO ORALE;LITURSOL*20 cpr 150 mg;4,43;CRINOS SpA;024615078;01C;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 150MG 20 UNITA' USO ORALE;URDES*20 cpr 150 mg;4,43;ERREKAPPA EUROTERAPICI SpA;026893038;01C;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 150MG 20 UNITA' USO ORALE;URSACOL*20 cpr 150 mg;4,43;ZAMBON ITALIA Srl;023630039;01C;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 150MG 20 UNITA' USO ORALE;URSOBIL*20 cps 150 mg;4,43;ABC FARMACEUTICI SpA;024444034;01C;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 150MG 20 UNITA' USO ORALE;URSOFLOR*20 cps 150 mg;4,43;SO.SE.PHARM Srl;026073015;01C;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 150MG 20 UNITA' USO ORALE;URSOLISIN*20 cps 150 mg;4,43;MAGIS FARMACEUTICI SpA;025430063;01C;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 225MG 20 UNITA' USO ORALE;DEURSIL*20 cps 225 mg rilascio prolungato;7,89;SANOFI-AVENTIS SpA;023605153;01D;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 225MG 20 UNITA' USO ORALE;URDES*20 cpr gastrores 225 mg;7,89;ERREKAPPA EUROTERAPICI SpA;026893065;01D;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 225MG 20 UNITA' USO ORALE;URSILON*20 cps 225 mg rilascio prolungato;7,89;I.B.I.GIOVANNI LORENZINI SpA;024173066;01D;X;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 250MG 20 UNITA' USO ORALE;URSOBIL*20 cps 250 mg;8,30;ABC FARMACEUTICI SpA;024444059;01E;;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 3% 200ML USO ORALE;URSOBIL*1 flacone 200 ml 3 g/100 ml sciroppo;10,93;ABC FARMACEUTICI SpA;024444111;01F;;;
Acido ursodesossicolico;ACIDO URSODESOSSICOLICO 3% 200ML USO ORALE;URSULTEC*1 flacone 200 ml 3 g/100 ml sciroppo;10,93;OTIFARMA Srl;033944024;01F;;;
Acido valproico/sodio valproato;ACIDO VALPROICO+SODIO VALPROATO 1.000MG 30 UNITA' USO ORALE RM;DEPAKIN*os grat 30 bust 1.000 mg rilascio modificato;20,85;SANOFI-AVENTIS SpA;022483224;S2A;;;
Acido valproico/sodio valproato;ACIDO VALPROICO+SODIO VALPROATO 100MG 30 UNITA' USO ORALE RM;DEPAKIN*os grat 30 bust 100 mg rilascio modificato;4,95;SANOFI-AVENTIS SpA;022483147;S2B;;;
Acido valproico/sodio valproato;ACIDO VALPROICO+SODIO VALPROATO 250MG 30 UNITA' USO ORALE RM;DEPAKIN*os grat 30 bust 250 mg rilascio modificato;5,96;SANOFI-AVENTIS SpA;022483162;S2C;;;
Acido valproico/sodio valproato;ACIDO VALPROICO+SODIO VALPROATO 300MG 30 UNITA' USO ORALE RP;ACIDO VALPROICO SODIO VALPROATO*30 cpr 300 mg rilascio prolungato;5,04;RATIOPHARM ITALIA Srl;037839026;S2D;;Toscana;
Acido valproico/sodio valproato;ACIDO VALPROICO+SODIO VALPROATO 300MG 30 UNITA' USO ORALE RP;ACIDO VALPROICO SODIO VALPROATO*30 cpr 300 mg rilascio prolungato;5,04;EG SpA;038036087;S2D;;Toscana;
Acido valproico/sodio valproato;ACIDO VALPROICO+SODIO VALPROATO 300MG 30 UNITA' USO ORALE RP;ACIDO VALPROICO*30 cpr 300 mg rilascio prolungato;5,04;SANDOZ SpA;036334011;S2D;;Toscana;
Acido valproico/sodio valproato;ACIDO VALPROICO+SODIO VALPROATO 300MG 30 UNITA' USO ORALE RP;DEPAKIN*CHRONO 30 cpr 300 mg rilascio prolungato;7,76;SANOFI-AVENTIS SpA;022483109;S2D;;Toscana;
Acido valproico/sodio valproato;ACIDO VALPROICO+SODIO VALPROATO 300MG 30 UNITA' USO ORALE RP;DEPAKIN*CHRONO 30 cpr 300 mg rilascio prolungato;7,76;PROGRAMMI SANIT.INTEGRATI Srl;040965028;S2D;;Toscana;
Acido valproico/sodio valproato;ACIDO VALPROICO+SODIO VALPROATO 500MG 30 UNITA' USO ORALE RP;ACIDO VALPROICO SODIO VALPROATO*30 cpr 500 mg rilascio prolungato;8,17;RATIOPHARM ITALIA Srl;037839115;S2F;;Toscana;
Acido valproico/sodio valproato;ACIDO VALPROICO+SODIO VALPROATO 500MG 30 UNITA' USO ORALE RP;ACIDO VALPROICO SODIO VALPROATO*30 cpr 500 mg rilascio prolungato;8,17;EG SpA;038036240;S2F;;Toscana;
Acido valproico/sodio valproato;ACIDO VALPROICO+SODIO VALPROATO 500MG 30 UNITA' USO ORALE RP;ACIDO VALPROICO*30 cpr 500 mg rilascio prolungato;8,17;SANDOZ SpA;036334023;S2F;;Toscana;
Acido valproico/sodio valproato;ACIDO VALPROICO+SODIO VALPROATO 500MG 30 UNITA' USO ORALE RP;DEPAKIN*os grat 30 bust 500 mg rilascio modificato;11,91;SANOFI-AVENTIS SpA;022483186;S2F;;;
Acido valproico/sodio valproato;ACIDO VALPROICO+SODIO VALPROATO 500MG 30 UNITA' USO ORALE RP;DEPAKIN CHRONO*30 cpr 500 mg rilascio prolungato;12,57;BB FARMA Srl;038485025;S2F;;Toscana;
Acido valproico/sodio valproato;ACIDO VALPROICO+SODIO VALPROATO 500MG 30 UNITA' USO ORALE RP;DEPAKIN CHRONO*30 cpr 500 mg rilascio prolungato;12,57;PROGRAMMI SANIT.INTEGRATI Srl;040965016;S2F;;Toscana;
Acido valproico/sodio valproato;ACIDO VALPROICO+SODIO VALPROATO 500MG 30 UNITA' USO ORALE RP;DEPAKIN CHRONO*30 cpr div 500 mg rilascio prolungato;12,57;SANOFI-AVENTIS SpA;022483111;S2F;;Toscana;
Acido valproico/sodio valproato;ACIDO VALPROICO+SODIO VALPROATO 750MG 30 UNITA' USO ORALE RM;DEPAKIN*os grat 30 bust 750 mg rilascio modificato;16,38;SANOFI-AVENTIS SpA;022483200;S2H;;;
Acitretina;ACITRETINA 10MG 30 UNITA' USO ORALE;ZORIAS*30 cps 10 mg;17,00;DIFA COOPER SpA;041619014;HAA;X;;
Acitretina;ACITRETINA 10MG 30 UNITA' USO ORALE;NEOTIGASON*30 cps 10 mg;23,28;ACTAVIS ITALY SpA;027480019;HAA;X;;
Acitretina;ACITRETINA 25MG 20 UNITA' USO ORALE;ZORIAS*20 cps 25 mg;23,89;DIFA COOPER SpA;041619065;HAB;X;;
Acitretina;ACITRETINA 25MG 20 UNITA' USO ORALE;NEOTIGASON*20 cps 25 mg;32,73;ACTAVIS ITALY SpA;027480021;HAB;X;;
Aclidinio;ACLIDINIO BROMURO 322MCG 60 DOSI USO RESPIRATORIO;BRETARIS GENUAIR*1 flacone 60 dosi polv inal 322 mcg;45,85;LAB.GUIDOTTI SpA;042470029;UBA;;;
Aclidinio;ACLIDINIO BROMURO 322MCG 60 DOSI USO RESPIRATORIO;EKLIRA GENUAIR*1 inalatore 60 dosi polv inal 322 mcg;45,85;ALMIRALL SpA;042471021;UBA;;;
Acqua per preparazioni iniettabili;ACQUA PER PREPARAZIONI INIETTABILI 2ML 1 UNITA' USO PARENTERALE;ACQUA PER PREPARAZIONI INIETTABILI*1 fiala solv 2 ml;0,15;GALENICA SENESE Srl;029824024;40A;X;;
Acqua per preparazioni iniettabili;ACQUA PER PREPARAZIONI INIETTABILI 2ML 1 UNITA' USO PARENTERALE;ACQUA PER PREPARAZIONI INIETTABILI*1 fiala solv 2 ml;0,15;SALF SpA;030649014;40A;X;;
Acqua per preparazioni iniettabili;ACQUA PER PREPARAZIONI INIETTABILI 2ML 1 UNITA' USO PARENTERALE;ACQUA PER PREPARAZIONI INIETTABILI*1 fiala solv 2 ml;0,15;MONICO SpA;030779019;40A;X;;
Acqua per preparazioni iniettabili;ACQUA PER PREPARAZIONI INIETTABILI 5ML 1 UNITA' USO PARENTERALE;ACQUA PER PREPARAZIONI INIETTABILI*1 fiala solv 5 ml;0,19;GALENICA SENESE Srl;029824048;40B;X;;
Acqua per preparazioni iniettabili;ACQUA PER PREPARAZIONI INIETTABILI 5ML 1 UNITA' USO PARENTERALE;ACQUA PER PREPARAZIONI INIETTABILI*1 fiala solv 5 ml;0,19;SALF SpA;030649038;40B;X;;
Acqua per preparazioni iniettabili;ACQUA PER PREPARAZIONI INIETTABILI 5ML 1 UNITA' USO PARENTERALE;ACQUA PER PREPARAZIONI INIETTABILI*1 fiala solv 5 ml;0,19;MONICO SpA;030779021;40B;X;;
Acqua per preparazioni iniettabili;ACQUA PER PREPARAZIONI INIETTABILI 10ML 1 UNITA' USO PARENTERALE;ACQUA PER PREPARAZIONI INIETTABILI*1 fiala solv 10 ml;0,23;GALENICA SENESE Srl;029824051;40C;X;;
Acqua per preparazioni iniettabili;ACQUA PER PREPARAZIONI INIETTABILI 10ML 1 UNITA' USO PARENTERALE;ACQUA PER PREPARAZIONI INIETTABILI*1 fiala solv 10 ml;0,23;SALF SpA;030649053;40C;X;;
Acqua per preparazioni iniettabili;ACQUA PER PREPARAZIONI INIETTABILI 10ML 1 UNITA' USO PARENTERALE;ACQUA PER PREPARAZIONI INIETTABILI*1 fiala solv 10 ml;0,23;MONICO SpA;030779033;40C;X;;
Adefovir Dipivoxil;ADEFOVIR DIPIVOXIL 10MG 30 UNITA' USO ORALE;HEPSERA*30 cpr 10 mg flacone;670,27;GILEAD SCIENCES Srl;035871019;BRG;;;
Adrenalina;ADRENALINA 0,5MG 5 UNITA' USO PARENTERALE;ADRENALINA*5 fiale 0,5 mg 1 ml;1,21;GALENICA SENESE Srl;029825015;41A;X;;
Adrenalina;ADRENALINA 0,5MG 5 UNITA' USO PARENTERALE;ADRENALINA*5 fiale 0,5 mg 1 ml;1,22;SALF SpA;030650016;41A;X;;
Adrenalina;ADRENALINA 0,5MG 5 UNITA' USO PARENTERALE;ADRENALINA*5 fiale 0,5 mg 1 ml;2,62;MONICO SpA;030780011;41A;X;;
Adrenalina;ADRENALINA 1MG 5 UNITA' USO PARENTERALE;ADRENALINA*5 fiale 1 mg 1 ml;1,44;GALENICA SENESE Srl;029825039;41B;X;;
Adrenalina;ADRENALINA 1MG 5 UNITA' USO PARENTERALE;ADRENALINA*5 fiale 1 mg 1 ml;1,51;SALF SpA;030650030;41B;X;;
Adrenalina;ADRENALINA 1MG 5 UNITA' USO PARENTERALE;ADRENALINA*5 fiale 1 mg 1 ml;3,81;MONICO SpA;030780023;41B;X;;
Albendazolo;ALBENDAZOLO 400MG 3 UNITA' USO ORALE;ZENTEL*3 cpr 400 mg;6,77;GLAXOSMITHKLINE SpA;027096041;HBA;;;
Albumina umana;ALBUMINA UMANA 20% 100ML 1 UNITA' USO PARENTERALE;ALBUREX*1 flacone EV 100 ml 20%;84,52;CSL BEHRING GmbH;036504064;HCA;;;
Albumina umana;ALBUMINA UMANA 20% 100ML 1 UNITA' USO PARENTERALE;ALBIOMIN*1 flacone EV 100 ml 200 g/l;86,20;BIOTEST ITALIA Srl;039073034;HCA;;;
Albumina umana;ALBUMINA UMANA 20% 100ML 1 UNITA' USO PARENTERALE;ALBUNORM*1 flacone EV 100 ml 20% 200 g/l;86,20;OCTAPHARMA ITALY SPA;039187087;HCA;;;
Albumina umana;ALBUMINA UMANA 20% 100ML 1 UNITA' USO PARENTERALE;PLASBUMIN*1 flacone EV 100 ml 200 g/l;86,20;GRIFOLS ITALIA SpA;028989059;HCA;;;
Albumina umana;ALBUMINA UMANA 20% 100ML 1 UNITA' USO PARENTERALE;UMANALBUMIN*1 flacone EV 100 ml 200 g/l;86,25;KEDRION SpA;021111101;HCA;;;
Albumina umana;ALBUMINA UMANA 20% 100ML 1 UNITA' USO PARENTERALE;ALBUMINA*1 flaconcino EV 100 ml 200 g/l;86,98;BAXTER SpA;037566078;HCA;;;
Albumina umana;ALBUMINA UMANA 20% 100ML 1 UNITA' USO PARENTERALE;OCTALBIN*1 flacone EV 100 ml 200 mg/ml;86,98;OCTAPHARMA ITALY SPA;038747046;HCA;;;
Albumina umana;ALBUMINA UMANA 20% 100ML 1 UNITA' USO PARENTERALE;ALBUMINA*1 flacone EV 100 ml 20%;89,09;GRIFOLS ITALIA SpA;034611020;HCA;;;
Albumina umana;ALBUMINA UMANA 20% 50ML 1 UNITA' USO PARENTERALE;ALBUREX*1 flaconcino EV 50 ml 20%;42,61;CSL BEHRING GmbH;036504052;HCB;;;
Albumina umana;ALBUMINA UMANA 20% 50ML 1 UNITA' USO PARENTERALE;ALBUMINA*1 flaconcino EV 50 ml 200 mg/ml;43,10;LAB.FRANCAIS DU FRACT.BIOTECH.;036176016;HCB;;;
Albumina umana;ALBUMINA UMANA 20% 50ML 1 UNITA' USO PARENTERALE;ALBIOMIN*1 flacone 50 ml 200 g/l;43,45;BIOTEST ITALIA Srl;039073022;HCB;;;
Albumina umana;ALBUMINA UMANA 20% 50ML 1 UNITA' USO PARENTERALE;ALBUNORM*1 flacone EV 50 ml 20% 200 g/l;43,45;OCTAPHARMA ITALY SPA;039187063;HCB;;;
Albumina umana;ALBUMINA UMANA 20% 50ML 1 UNITA' USO PARENTERALE;PLASBUMIN*1 flacone EV 50 ml 200 g/l;43,45;GRIFOLS ITALIA SpA;028989046;HCB;;;
Albumina umana;ALBUMINA UMANA 20% 50ML 1 UNITA' USO PARENTERALE;ALBUTEIN*1 flacone EV 50 ml 200 g/l;43,48;GRIFOLS ITALIA SpA;029251030;HCB;;;
Albumina umana;ALBUMINA UMANA 20% 50ML 1 UNITA' USO PARENTERALE;ALBITAL*1 flaconcino EV 50 ml 200 g/l + set;43,49;KEDRION SpA;022515163;HCB;;;
Albumina umana;ALBUMINA UMANA 20% 50ML 1 UNITA' USO PARENTERALE;ALBUMINA UMANA*1 flacone EV 50 ml 200 g/l;43,49;BAXTER SpA;010317028;HCB;;;
Albumina umana;ALBUMINA UMANA 20% 50ML 1 UNITA' USO PARENTERALE;ALBUMINA UMANA*1 flacone EV 50 ml 200 g/l;43,49;CSL BEHRING SpA;011544020;HCB;;;
Albumina umana;ALBUMINA UMANA 20% 50ML 1 UNITA' USO PARENTERALE;ALBUMINA*1 flaconcino EV 50 ml 200 g/l;43,49;BAXTER SpA;037566054;HCB;;;
Albumina umana;ALBUMINA UMANA 20% 50ML 1 UNITA' USO PARENTERALE;ALBUMINA*1 flacone EV 50 ml 20%;43,49;GRIFOLS ITALIA SpA;034611018;HCB;;;
Albumina umana;ALBUMINA UMANA 20% 50ML 1 UNITA' USO PARENTERALE;OCTALBIN*1 flacone EV 50 ml 200 mg/ml;43,49;OCTAPHARMA ITALY SPA;038747034;HCB;;;
Albumina umana;ALBUMINA UMANA 20% 50ML 1 UNITA' USO PARENTERALE;UMANALBUMIN*1 flacone EV 50 ml 200 g/l;43,49;KEDRION SpA;021111024;HCB;;;
Albumina umana;ALBUMINA UMANA 25% 50ML 1 UNITA' USO PARENTERALE;ALBUMINA*1 flacone EV 50 ml 25 g/100 ml;53,29;GRIFOLS ITALIA SpA;034611069;HCC;;;
Albumina umana;ALBUMINA UMANA 25% 50ML 1 UNITA' USO PARENTERALE;ALBUNORM*1 flacone EV 50 ml 25% 250 g/l;53,29;OCTAPHARMA ITALY SPA;039187101;HCC;;;
